result.1,result.2,result.3,result.4,result.5,result.6,result.7,result.8,result.9,result.10,result.11,result.12,result.13,result.14,result.15,result.16,result.17,result.18,result.19,result.20,result.21,result.22,result.23,result.24,result.25,result.26,result.27,result.28,result.29,result.30,result.31,result.32,result.33,result.34,result.35,result.36,result.37,result.38,result.39,result.40,result.41,result.42,result.43,result.44,result.45,result.46,result.47,result.48,result.49,result.50,result.51,result.52,result.53,result.54,result.55,result.56,result.57,result.58,result.59,result.60,result.61,result.62,result.63,result.64,result.65,result.66,result.67,result.68,result.69,result.70,result.71,result.72,result.73,result.74,result.75,result.76,result.77,result.78,result.79,result.80,result.81,result.82,result.83,result.84,result.85,result.86,result.87,result.88,result.89,result.90,result.91,result.92,result.93,result.94,result.95,result.96,result.97,result.98,result.99,result.100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00625,0.0075,0.01,0.01,0.00625,0.005,0.005,0.02625,0.00875,0.01,0.005,0.01125,0.00375,0.00625,0.0075,0.0225,0.03375,0.03,0.0075,0.0125,0.0075,0.005,0.0125,0.025,0.0075,0.0075,0.00375,0.01,0.00625,0.0075,0.00875,0.00125,0.0025,0.0075,0.0075,0.00375,0.0125,0.005,0.0075,0.00375,0.0075,0.00875,0.005,0.02,0.01,0.0225,0.00875,0.0025,0.01,0.00375,0.0075,0.0025,0.03125,0.01375,0.005,0.00625,0.00875,0.005,0.00625,0.025,0.01375,0.00375,0.01125,0.01125,0.0025,0.0025,0.01,0.015,0.02875,0.005,0.00875,0.005,0.0075,0.01,0.0075,0.01375,0.02875,0.00875,0.00375,0.0025,0.00875,0.00875,0.00625,0.0075,0.03,0.01125,0.005,0.015,0.00625,0.00875,0.00625,0.01875,0.01375,0.00375,0.0075,0.00875,0.00875,0.0025,0.01125,0.005
