"","ACTUAL","ANCOM.BC","UQ1","UQ2","TMM1","TMM2","CSS","MED","TSS","group","D.ANCOM.BC","D.UQ1","D.UQ2","D.TMM1","D.TMM2","D.CSS","D.MED","D.TSS","CD.ANCOM.BC","CD.UQ1","CD.UQ2","CD.TMM1","CD.TMM2","CD.CSS","CD.MED","CD.TSS"
"1",-2.08895470625565,-0.063966294227172,11.624308945865,-0.223301445152306,11.4482556657646,-0.399354725252756,7.56371966841437,0.00137898147573193,11.8440261577895,"Group1",-2.02498841202848,-13.7132636521207,-1.86565326110334,-13.5372103720202,-1.68959998100289,-9.65267437467002,-2.09033368773138,-13.9329808640452,-0.0030837917297446,-0.190880071920368,0.1278756886619,-0.0148267918199227,0.30392896876235,-0.0717045861253212,-0.0798037885217777,-0.416008716291008
"2",-1.94357482704302,0.0660200887669888,11.7085010370854,-0.285398906681316,11.5937187972369,-0.400181146529777,7.69256964806791,0.108197740319183,11.9908042535874,"Group1",-2.00959491581001,-13.6520758641284,-1.6581759203617,-13.5372936242799,-1.54339368051324,-9.63614447511093,-2.0517725673622,-13.9343790806305,0.0123097044887239,-0.129692283928089,0.33535302940354,-0.0149100440796293,0.450135269252,-0.0551746865662306,-0.0412426681525995,-0.417406932876286
"3",-2.24817242048579,-0.213183998993455,11.4791269360205,-0.212321212486492,11.2863591550538,-0.405088993453224,7.48380668766583,-0.115271513410061,11.687256851873,"Group1",-2.03498842149234,-13.7272993565063,-2.0358512079993,-13.5345315755396,-1.84308342703257,-9.73197910815163,-2.13290090707573,-13.9354292723588,-0.0130838011936034,-0.204915776306015,-0.0423222582340554,-0.0121479953392853,0.150445522732676,-0.151009319606931,-0.122371007866127,-0.418457124604622
"4",-2.28298053938378,-0.229826320282828,11.4228872176977,-0.231789513977155,11.2667518862127,-0.387924845462163,7.44949800538285,-0.145761296265189,11.6503281046391,"Group1",-2.05315421910095,-13.7058677570814,-2.05119102540663,-13.5497324255964,-1.89505569392162,-9.73247854476663,-2.13721924311859,-13.9333086440229,-0.0312495988022192,-0.183484176881127,-0.0576620756413813,-0.027348845396121,0.0984732558436261,-0.151508756221933,-0.126689343908987,-0.416336496268713
"5",-2.22895593699855,-0.189732198724128,11.5098985946873,-0.198239972868119,11.3188826728032,-0.389255894752244,7.49052940206071,-0.0989883387295327,11.7040167880383,"Group1",-2.03922373827442,-13.7388545316858,-2.03071596413043,-13.5478386098017,-1.83970004224631,-9.71948533905926,-2.12996759826902,-13.9329727250369,-0.0173191179756906,-0.216470951485526,-0.0371870143651889,-0.0254550296014031,0.153828907518936,-0.138515550514567,-0.119437699059414,-0.41600057728272
"6",-2.27208028553298,-0.224604455140937,11.447378237706,-0.220463328367621,11.2685886074983,-0.399252958575246,7.40913644392013,-0.128596766759836,11.6635499350209,"Group1",-2.04747583039205,-13.7194585232389,-2.05161695716536,-13.5406688930313,-1.87282732695774,-9.68121672945311,-2.14348351877315,-13.9356302205539,-0.0255712100933145,-0.197074943038626,-0.0580880074001193,-0.0182853128310025,0.120701622807506,-0.100246940908416,-0.132953619563544,-0.41865807279974
"7",-1.80919832509764,0.213730566813351,11.8474524971792,-0.278076898760515,11.7304439720166,-0.395085423923195,7.83280751652486,0.253493628629002,12.1228160287793,"Group1",-2.02292889191099,-13.6566508222769,-1.53112142633712,-13.5396422971142,-1.41411290117444,-9.6420058416225,-2.06269195372664,-13.9320143538769,-0.00102427161225283,-0.134267242076564,0.462407523428123,-0.0172587169138847,0.579416048590804,-0.0610360530778031,-0.0521620545170327,-0.415042206122736
"8",-2.24860985202089,-0.223441099588593,11.414588414883,-0.274950680955618,11.2947770323565,-0.394762063482072,7.42356844425917,-0.126661524658157,11.6853397733163,"Group1",-2.0251687524323,-13.6631982669039,-1.97365917106528,-13.5433868843774,-1.85384778853882,-9.67217829628006,-2.12194832736274,-13.9339496253372,-0.0032641321335678,-0.140814686703546,0.0198697786999671,-0.0210033041770927,0.139681161226421,-0.0912085077353648,-0.111418428153133,-0.416977477583011
"9",-2.0860268383156,-0.062733862975458,11.5969099716769,-0.253701278980178,11.4512969194093,-0.39931433124779,7.56682847920833,-0.00476306063628804,11.8470377762998,"Group1",-2.02329297534014,-13.6829368099925,-1.83232555933542,-13.5373237577249,-1.68671250706781,-9.65285531752393,-2.08126377767931,-13.9330646146154,-0.00138835504140822,-0.160553229792205,0.161203390429823,-0.0149401775245952,0.306816442697434,-0.0718855289792337,-0.0707338784697069,-0.416092466861244
"10",-2.02284216298478,-0.0121922217774267,11.624308945865,-0.289912950341134,11.5203629399146,-0.393858956291575,7.60837447438078,0.0483678047701588,11.9108690236795,"Group1",-2.01064994120735,-13.6471511088498,-1.73292921264365,-13.5432051028994,-1.62898320669321,-9.63121663736556,-2.07120996775494,-13.9337111866643,0.0112546790913788,-0.1247675286495,0.260599737121596,-0.0208215226990607,0.364545743072038,-0.0502468488208692,-0.0606800685453357,-0.41673903891015
