"ACTUAL","ANCOM.BC","UQ1","UQ2","TMM1","TMM2","CSS","MED","TSS","group","D.ANCOM.BC","D.UQ1","D.UQ2","D.TMM1","D.TMM2","D.CSS","D.MED","D.TSS","CD.ANCOM.BC","CD.UQ1","CD.UQ2","CD.TMM1","CD.TMM2","CD.CSS","CD.MED","CD.TSS"
-2.0851924231574,-0.0690953970414627,11.6450007156918,-0.206345087117623,11.472442948656,-0.378902854153437,7.55799495853081,-0.352041628285729,11.847774957082,"Group1",-2.01609702611594,-13.7301931388492,-1.87884733603978,-13.5576353718134,-1.70628956900396,-9.64318738168821,-1.73315079487167,-13.9329673802395,0.00130936736105891,-0.212035367598459,-0.306934729086288,-0.0394776005626465,-0.134376962050475,-0.0916905909944798,-0.139617488018635,-0.418119853759929
-1.94170427953352,0.0780520830663031,11.7476548697519,-0.248104068902146,11.6164416691328,-0.379317269521234,7.70120018085745,-0.251807941420291,11.9926690068932,"Group1",-2.01975636259982,-13.6893591492854,-1.69360021063137,-13.5581459486663,-1.56238701001228,-9.64290446039096,-1.68989633811323,-13.9343732864267,-0.00234996912282304,-0.171201378034658,-0.121687603677881,-0.039988177415573,0.00952559694120625,-0.0914076696972366,-0.0963630312601897,-0.419525759947174
-2.24625094743993,-0.205512623474416,11.451809486661,-0.241544076975563,11.3086977603273,-0.384655803309227,7.47760424319759,-0.507089885777443,11.6891702622706,"Group1",-2.04073832396551,-13.6980604341009,-2.00470687046436,-13.5549487077672,-1.8615951441307,-9.72385519063752,-1.73916106166248,-13.9354212097105,-0.0233319304885145,-0.179902662850125,-0.432794263510874,-0.036790936516466,-0.289682537177211,-0.172358399943789,-0.145627754809448,-0.420573683230959
-2.27877854053044,-0.24510521299197,11.4013786330341,-0.257463706836299,11.2844484438822,-0.374393895988146,7.44014668066269,-0.547403510839474,11.6545118290321,"Group1",-2.03367332753847,-13.6801571735645,-2.02131483369414,-13.5632269844127,-1.90438464454229,-9.71892522119312,-1.73137502969096,-13.9332903695625,-0.0162669340614681,-0.161999402313743,-0.449402226740646,-0.0450692131618968,-0.3324720375888,-0.167428430499397,-0.137841722837924,-0.418442843083014
-2.22464364111946,-0.197681556745171,11.4998187058473,-0.21259675783688,11.3355701049658,-0.376845358718424,7.46450983463653,-0.506394075686712,11.7083113110934,"Group1",-2.02696208437429,-13.7244623469668,-2.01204688328258,-13.5602137460853,-1.84779828240104,-9.68915347575599,-1.71824956543275,-13.9329549522128,-0.00955569089729558,-0.206304575716025,-0.440134276329094,-0.0420559748344811,-0.27588567544755,-0.137656685062264,-0.124716258579716,-0.418107425733329
-2.27025914513418,-0.232201035007915,11.4352801847098,-0.234366938004133,11.2967657073374,-0.372881415376528,7.45529848568329,-0.512687521713477,11.6653632500591,"Group1",-2.03805811012626,-13.7055393298439,-2.03589220713005,-13.5670248524715,-1.89737772975765,-9.72555763081747,-1.7575716234207,-13.9356223951933,-0.020651716649267,-0.187381558593168,-0.463979600176557,-0.0488670812207737,-0.325465122804162,-0.174060840123744,-0.164038316567666,-0.420774868713774
-1.80534792034494,0.206224017364048,11.8895354569874,-0.23982351680835,11.7531861188981,-0.376172854897575,7.87473912517181,-0.138001459078858,12.1266559918439,"Group1",-2.01157193770899,-13.6948833773323,-1.56552440353659,-13.5585340392431,-1.42917506544737,-9.68008704551675,-1.66734646126608,-13.9320039121889,0.00583445576800923,-0.176725606081526,0.00638820341690005,-0.0403762679923023,0.142737541506125,-0.128590254823024,-0.0738131544130458,-0.417156385709356
-2.24520111256823,-0.237885302819606,11.5076008462894,-0.185318468465613,11.3179455004727,-0.374973814282262,7.43366654016617,-0.5111491956763,11.6887341925931,"Group1",-2.00731580974863,-13.7528019588576,-2.05988264410262,-13.563146613041,-1.87022729828597,-9.6788676527344,-1.73405191689193,-13.9339353051614,0.0100905837283705,-0.234644187606849,-0.48797003714913,-0.0449888417902002,-0.298314691332481,-0.127370862040674,-0.140518610038897,-0.41908777868184
-2.08236179446062,-0.0529476018662792,11.589430864537,-0.264819330356595,11.4610836039239,-0.393166590969733,7.58273848891441,-0.359362783163964,11.8506897237141,"Group1",-2.02941419259434,-13.6717926589976,-1.81754246410402,-13.5434453983845,-1.68919520349089,-9.66510028337503,-1.72299901129665,-13.9330515181748,-0.0120077991173422,-0.153634887746865,-0.245629857150534,-0.0252876271337286,-0.117282596537396,-0.113603492681303,-0.129465704443618,-0.418203991695231
-2.02004911887297,-0.0135085893166645,11.6450007156918,-0.271995552461731,11.5360547741206,-0.380941494033014,7.66199755890189,-0.332673935379245,11.9136527003975,"Group1",-2.0065405295563,-13.6650498345648,-1.74805356641124,-13.5561038929935,-1.63910762483995,-9.68204667777486,-1.68737518349372,-13.9337018192705,0.0108658639206967,-0.146892063314024,-0.176140959457745,-0.0379461217427401,-0.0671950178864622,-0.130549887081132,-0.0938418766406846,-0.418854292790943
