"","ACTUAL","ANCOM.BC","CSS","MED","UQ","TMM","TSS","group","D.ANCOM.BC","D.CSS","D.MED","D.UQ","D.TMM","D.TSS","CD.ANCOM.BC","CD.CSS","CD.MED","CD.UQ","CD.TMM","CD.TSS"
"1",-2.96132642902949,0.788866669648484,6.60394382460047,0.57273271816542,-0.263391492105675,-0.66245318869956,10.2757749848383,"Group1",-3.75019309867797,-9.56527025362996,-3.53405914719491,-2.69793493692381,-2.29887324032993,-13.2371014138678,0.689550524370333,1.03650178841132,0.965438792483464,1.7713521091975,2.17041380579138,0.336400472515534
"2",-3.15837209095105,0.719980150611269,6.64248680136726,0.496113023019978,-0.424670319515512,-0.686821208197596,10.2698999333806,"Group1",-3.87835224156232,-9.8008588923183,-3.65448511397103,-2.73370177143554,-2.47155088275345,-13.4282720243316,0.561391381485988,0.800913149722977,0.845012825707346,1.73558527468578,1.99773616336786,0.145229862051661
"3",-3.39352238929565,0.532457421076227,6.35610766069589,0.352518410088293,-0.293603556827931,-0.537073576123852,10.0391105063208,"Group1",-3.92597981037188,-9.74963004999154,-3.74604079938395,-3.09991883246772,-2.8564488131718,-13.4326328956165,0.513763812676424,0.852141992049734,0.753457140294425,1.36936821365359,1.61283823294951,0.140868990766805
"4",-5.73670538865656,-0.68774037416629,5.75574221358691,-0.380923286340461,0.505751104022312,0.688835925298746,7.88495294575981,"Group1",-5.04896501449027,-11.4924476022435,-5.3557821023161,-6.24245649267888,-6.42554131395531,-13.6216583344164,-0.60922139144197,-0.890675560202197,-0.856284162637732,-1.77316944655756,-1.956254267834,-0.0481564480330778
"5",-5.92789688674164,-0.739750438126939,5.80814248998044,-0.38499242336407,0.6332821628378,0.821931744563505,7.73149202924568,"Group1",-5.18814644861471,-11.7360393767221,-5.54290446337757,-6.56117904957944,-6.74982863130515,-13.6593889159873,-0.748402825566401,-1.13426733468081,-1.0434065236992,-2.09189200345813,-2.28054158518384,-0.0858870296040291
"6",-5.53232142543799,-0.642688767119738,5.73334127689774,-0.366426257439719,0.363389631949517,0.569953407522033,8.0519780789023,"Group1",-4.88963265831825,-11.2656627023357,-5.16589516799827,-5.89571105738751,-6.10227483296002,-13.5842995043403,-0.449889035269948,-0.663890660294456,-0.6663972283199,-1.4264240112662,-1.63298778683871,-0.0107976179569906
"7",-5.11845847345489,-0.498715131516383,5.63835466933375,-0.341196837356469,0.0471361217405849,0.318889857322198,8.41049845274527,"Group1",-4.61974334193851,-10.7568131427886,-4.77726163609843,-5.16559459519548,-5.43734833077709,-13.5289569262002,-0.179999718890206,-0.155041100747361,-0.277763696420054,-0.696307549074167,-0.968061284655781,0.0445449601831296
"8",-3.70352922911661,0.277827792659708,6.20657592672493,0.131335076193783,-0.223767255930098,-0.461694903999302,9.73867186987184,"Group1",-3.98135702177632,-9.91010515584153,-3.83486430531039,-3.47976197318651,-3.24183432511731,-13.4422010989884,0.458386601271989,0.691666886199744,0.66463363436798,0.989525072934801,1.22745272100401,0.131300787394853
"9",-3.60560390455086,0.389817058494704,6.17170059741091,0.267599829902514,-0.315525571446043,-0.45615514435332,9.8330114387318,"Group1",-3.99542096304556,-9.77730450196177,-3.87320373445337,-3.29007833310481,-3.14944876019754,-13.4386153432827,0.444322660002742,0.824467540079507,0.626294205224999,1.1792087130165,1.31983828592377,0.134886543100638
"10",-2.32586549892041,1.4620401619254,7.07918439460967,1.0967302310786,-0.500047507253959,-0.822704151475676,11.0924736145537,"Group1",-3.78790566084581,-9.40504989353008,-3.42259572999902,-1.82581799166646,-1.50316134744474,-13.4183391134742,0.651837962202494,1.1967221485112,1.07690220967935,2.64346905445486,2.96612569867657,0.155162772909144
"11",-3.55245886781872,0.395849310248031,6.13339804299665,0.294008881238894,-0.249863639389662,-0.507133836028894,9.88649397615956,"Group1",-3.94830817806675,-9.68585691081537,-3.84646774905762,-3.30259522842906,-3.04532503178983,-13.4389528439783,0.491435444981551,0.915915131225908,0.653030190620755,1.16669181769225,1.42396201433148,0.134549042405022
"12",-2.97652901982784,0.877912145547356,6.57088296233958,0.596055975441851,-0.360158080904394,-0.69608153237642,10.4493520809466,"Group1",-3.8544411653752,-9.54741198216743,-3.57258499526969,-2.61637093892345,-2.28044748745142,-13.4258811007745,0.585302457673106,1.05436005987385,0.926912944408678,1.85291610719786,2.18883955866989,0.147620785608821
"13",-5.82954028543968,-0.717292031793142,5.79605775076537,-0.380923286340461,0.570859949309558,0.802772242062854,7.80710329012598,"Group1",-5.11224825364654,-11.6255980362051,-5.44861699909922,-6.40040023474924,-6.63231252750254,-13.6366435755657,-0.672504630598237,-1.02382599416378,-0.949119059420851,-1.93111318862793,-2.16302548138123,-0.0631416891823644
"14",-3.62895941169672,0.344343307065711,6.18208490671663,0.209550897681085,-0.295364449468312,-0.453348585305203,9.81230384711351,"Group1",-3.97330271876244,-9.81104431841336,-3.83851030937781,-3.33359496222841,-3.17561082639152,-13.4412632588102,0.466440904285869,0.790727723627924,0.660987630300563,1.1356920838929,1.29367621972979,0.132238627573065
"15",-5.78184766139403,-0.720530229463274,5.80513496891649,-0.377298343873714,0.5372852484294,0.695732500310969,7.84737183615979,"Group1",-5.06131743193075,-11.5869826303105,-5.40454931752031,-6.31913290982343,-6.47758016170499,-13.6292194975538,-0.621573808882447,-0.985210588269235,-0.90505137784194,-1.84984586370211,-2.00829311558368,-0.0557176111705147
