method,X1,X2,country,scale_x1,scale_x2
ANCOM-BC,0.006077914,-0.064194356,MA,0.062044265,-1.199238037
ANCOM-BC,0.228901564,0.011497746,MA,2.336661707,0.214793565
ANCOM-BC,0.264410764,-0.011703084,MA,2.699144976,-0.218629549
ANCOM-BC,-0.056110919,-0.024770469,MA,-0.572788727,-0.462746118
ANCOM-BC,0.144622161,-0.094880115,MA,1.476324842,-1.772489845
ANCOM-BC,0.202047093,-0.055735938,MA,2.062527215,-1.04122327
ANCOM-BC,-0.120770762,-0.004497583,MA,-1.232846162,-0.08402097
ANCOM-BC,0.176438236,-0.046580839,MA,1.801108143,-0.870193541
ANCOM-BC,0.00794779,-0.046714824,MA,0.08113224,-0.872696564
ANCOM-BC,0.101855781,-0.044562091,MA,1.039759188,-0.832480589
ANCOM-BC,0.102102559,-0.03445921,MA,1.042278333,-0.643744993
ANCOM-BC,-0.092246357,-0.030069101,MA,-0.941664729,-0.561731784
ANCOM-BC,-0.068619641,-0.058808326,MA,-0.700479652,-1.098619659
ANCOM-BC,0.08833286,0.004240899,MA,0.901715165,0.079225776
ANCOM-BC,0.182485782,-0.009531845,MA,1.862842401,-0.17806786
ANCOM-BC,-0.036725554,-0.028581876,MA,-0.374899995,-0.533948389
ANCOM-BC,-0.017144328,-0.057686419,MA,-0.175011886,-1.077660915
ANCOM-BC,0.021142287,-0.026874282,MA,0.215823659,-0.502048214
ANCOM-BC,0.020690276,-0.031542054,MA,0.211209464,-0.589248551
ANCOM-BC,-0.042951856,-0.012602526,MA,-0.438459024,-0.23543235
ANCOM-BC,-0.05412143,-0.02084616,MA,-0.552479721,-0.389434676
ANCOM-BC,0.006309181,-0.084882205,MA,0.064405073,-1.585715262
ANCOM-BC,0.039635639,-0.040657663,MA,0.404606579,-0.759540553
ANCOM-BC,-0.067173358,0.00399777,MA,-0.685715772,0.074683783
ANCOM-BC,0.058431198,-0.059451481,MA,0.596474485,-1.110634672
ANCOM-BC,0.043804613,-0.032920208,MA,0.447164098,-0.614994339
ANCOM-BC,-0.065442656,-0.038150401,MA,-0.668048506,-0.712701486
ANCOM-BC,-0.077723545,-0.026307378,MA,-0.793413675,-0.491457666
ANCOM-BC,0.093210199,-0.027499134,MA,0.951503782,-0.513721287
ANCOM-BC,0.106965258,-0.037387104,MA,1.091917494,-0.698442045
ANCOM-BC,-0.078168009,-0.016756288,MA,-0.797950829,-0.3130303
ANCOM-BC,-0.078621015,-0.031192858,MA,-0.802575181,-0.582725083
ANCOM-BC,0.105633381,-0.049057287,MA,1.078321493,-0.916456976
ANCOM-BC,0.093145932,-0.057165287,MA,0.950847726,-1.067925451
ANCOM-BC,-0.122157119,-0.034991336,MA,-1.246998302,-0.653685834
ANCOM-BC,-0.056416101,-0.009061501,MA,-0.575904068,-0.169281186
ANCOM-BC,0.098040132,0.000419241,MA,1.000808464,0.007832001
ANCOM-BC,0.028817042,-0.012222971,MA,0.294168713,-0.22834176
ANCOM-BC,-0.077227794,-0.112671654,MA,-0.788352972,-2.104860031
ANCOM-BC,-0.044435056,-0.009985452,MA,-0.453599757,-0.186541843
ANCOM-BC,-0.005004801,-0.038289386,MA,-0.051089768,-0.7152979
ANCOM-BC,0.025252435,-0.024833512,MA,0.257780665,-0.46392384
ANCOM-BC,-0.132654892,-0.059709773,MA,-1.354161151,-1.115459921
