"phylum","genus","mean.difference (MA - US)","se","effect.size (MA - US)","p.val","q.val","diff.abn","struc.zero.MA","struc.zero.US"
"p__Firmicutes","p__Firmicutes;g__Anaerostipes",-0.388650046318336,0.197776908411755,-1.9650931417595,0.049403458248937,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerovorax",0.0244066193965815,0.121410589386533,0.201025458486808,0.840678667399596,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Bacteroides",0.11714569458021,0.237063538568297,0.494153151039973,0.62119802318139,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Butyrivibrio",0.465422825744984,0.200388282788451,2.32260499101302,0.0202003823579948,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Desulfitobacterium",0.100653002608512,0.0770008127648419,1.30716805439319,0.191155642429908,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Desulfosporosinus",0.0822831528333978,0.0587341916012921,1.40094126760038,0.161231636921731,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Dorea",-0.156775479347354,0.248360000489688,-0.631242869376074,0.527881735597494,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Faecalibacterium",-0.153678784181814,0.257809960454405,-0.596093277043858,0.551112915163687,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Finegoldia",-0.142970447668382,0.197325855786224,-0.72453985869582,0.46873436605615,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Gemella",0.304582496037274,0.192555874806662,1.58178760499047,0.113698065572276,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Melissococcus",0.303430694447174,0.126618850762736,2.39641011286508,0.0165565538190375,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Mogibacterium",-0.0797571135620084,0.13944338039679,-0.57196772865845,0.567343837866133,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Paenibacillus",0.0386536935754841,0.0752155411227406,0.513905676918644,0.607317938288198,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Salinicoccus",-0.0256633901339974,0.0998386340764905,-0.257048690332998,0.797141186066457,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Staphylococcus",0.360005324876111,0.251920722705242,1.42904212488043,0.152992126281045,1,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Subdoligranulum",0.0357328937601987,0.0696808506597841,0.512807943959583,0.608085672341774,1,FALSE,0,0
