"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Firmicutes;g__Shuttleworthia",142,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Streptococcus",154,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Tetragenococcus",132,FALSE,FALSE,TRUE,TRUE
"p__Firmicutes;g__Turicibacter",166,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Vagococcus",151,FALSE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Veillonella",161,TRUE,TRUE,TRUE,TRUE
"p__Firmicutes;g__Weissella",165,TRUE,TRUE,TRUE,TRUE
"p__Fusobacteria;g__Fusobacterium",155,TRUE,TRUE,TRUE,TRUE
"p__Fusobacteria;g__Leptotrichia",157,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Acidovorax",138,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Actinobacillus",160,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Aeromonas",125,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Aggregatibacter",154,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Alkalimonas",126,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Aquamonas",131,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Bilophila",169,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Brachymonas",124,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Burkholderia",157,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Buttiauxella",126,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Campylobacter",169,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Cronobacter",138,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Desulfovibrio",128,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Erwinia",132,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Escherichia",150,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Gallibacterium",155,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Haemophilus",162,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Herbaspirillum",125,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Janthinobacterium",129,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Klebsiella",142,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Leclercia",126,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Limnobacter",143,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Limnohabitans",120,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Methylobacterium",147,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Neisseria",155,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Nitrosomonas",126,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Novosphingobium",132,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Oxalobacter",131,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Pantoea",124,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Pasteurella",149,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Plesiomonas",127,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Proteus",120,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Pseudomonas",146,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Rahnella",127,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Rhizobium",130,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Rhodocyclus",124,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Serratia",151,FALSE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Sphingomonas",133,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Succinivibrio",170,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Sutterella",156,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Thauera",131,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Thiomonas",154,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Thiothrix",120,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Xenorhabdus",126,FALSE,FALSE,TRUE,TRUE
"p__Proteobacteria;g__Yersinia",123,FALSE,FALSE,TRUE,TRUE
"p__Spirochaetes;g__Treponema",157,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Bulleidia",158,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Catenibacterium",158,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Clostridium",164,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Coprobacillus",164,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__Holdemania",163,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__p-75-a5",157,TRUE,TRUE,TRUE,TRUE
"p__Tenericutes;g__RFN20",152,FALSE,TRUE,TRUE,TRUE
"p__Verrucomicrobia;g__Akkermansia",170,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Cyclobacterium",Inf,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Dyadobacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Bacteroidetes;g__Pedobacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Helicobacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Paucibacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Ralstonia",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Sphaerotilus",Inf,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Adlercreutzia",100,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Bifidobacterium",58,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Collinsella",72,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Corynebacterium",90,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Scardovia",106,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Abiotrophia",112,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Anaerobacillus",110,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Anaerococcus",101,FALSE,FALSE,FALSE,FALSE
