"phylum","genus","mean.difference (MA - VEN)","se (MA - VEN)","effect.size (MA - VEN)","p.val","q.val","diff.abn","structural.zero (MA)","structural.zero (VEN)"
"p__Tenericutes","p__Tenericutes;g__Catenibacterium",-2.04502007141352,0.409200280322039,-4.9976018340068,5.80476860723395e-07,0.000127704909359147,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Actinobacillus",1.53242550452826,0.311033306493409,4.926885553849,8.35506586880605e-07,0.000183811449113733,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Subdoligranulum",-0.641305622121408,0.1301950546905,-4.92572950367371,8.40461981179649e-07,0.000184901635859523,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Turicibacter",1.73666807376291,0.358813877499819,4.8400248225176,1.29822912136988e-06,0.000285610406701373,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Alistipes",-1.628584533797,0.336925427307773,-4.83366466820367,1.34042303763549e-06,0.000294893068279808,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Bacillus",-1.07295974148263,0.227085015624741,-4.72492532600963,2.30199930561339e-06,0.000506439847234947,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Caloramator",0.424387653988007,0.0901285451551217,4.70869304788606,2.49310177091982e-06,0.00054848238960236,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Buttiauxella",-0.845221393516884,0.185985808410564,-4.54454778426457,5.50533177314832e-06,0.00121117299009263,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Megamonas",1.58454535626487,0.351286056052542,4.51069813038028,6.46146174871796e-06,0.00142152158471795,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Burkholderia",-0.577686191295979,0.130275928678298,-4.434327946512,9.23599447853933e-06,0.00203191878527865,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Escherichia",-1.23269934684055,0.279831410799023,-4.40515002701353,1.05710690597629e-05,0.00232563519314783,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Sarcina",1.80641624608475,0.411329824488099,4.39164908193282,1.12494160232069e-05,0.00247487152510551,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Megasphaera",1.85265991291845,0.422352616968455,4.38652405238163,1.15176433989514e-05,0.00253388154776931,TRUE,0,0
