"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Proteobacteria;g__Achromobacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Congregibacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Cupriavidus",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Paucibacter",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Ralstonia",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Salinivibrio",Inf,TRUE,TRUE,TRUE,TRUE
"p__Proteobacteria;g__Sphaerotilus",Inf,TRUE,TRUE,TRUE,TRUE
"p__Spirochaetes;g__Brachyspira",Inf,TRUE,TRUE,TRUE,TRUE
"p__Actinobacteria;g__Actinomyces",65,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Adlercreutzia",144,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Alloscardovia",108,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Arcanobacterium",133,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Atopobium",64,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Bifidobacterium",56,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Collinsella",102,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Corynebacterium",71,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Curtobacterium",103,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Dermacoccus",142,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Dermatophilus",151,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Eggerthella",51,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Gardnerella",90,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Gordonia",124,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Kocuria",76,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Kytococcus",138,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Mobiluncus",96,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Mycobacterium",104,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Parascardovia",96,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Scardovia",76,FALSE,FALSE,FALSE,FALSE
"p__Actinobacteria;g__Streptomyces",138,FALSE,FALSE,FALSE,TRUE
"p__Actinobacteria;g__Varibaculum",103,FALSE,FALSE,FALSE,FALSE
