"ACTUAL","ANCOM.BC","CSS","MED","UQ","TMM","TSS","group","D.ANCOM.BC","D.CSS","D.MED","D.UQ","D.TMM","D.TSS","CD.ANCOM.BC","CD.CSS","CD.MED","CD.UQ","CD.TMM","CD.TSS"
-5.83967741704238,-0.589910064238045,5.80513496891649,-0.431457209860486,0.739454983814181,1.02073177586112,7.91169052070834,"Group1",-5.24976735280433,-11.6448123859589,-5.40822020718189,-6.57913240085656,-6.86040919290349,-13.7513679377507,-0.677106805914465,-1.16132443160217,-1.06596079947637,-2.27699730954573,-2.55827410159267,0.0388471694309249
-2.60468153974806,1.33057712205769,6.8001700683022,0.785393628310423,-0.29704015153349,-0.680158447017892,10.9535396505889,"Group1",-3.93525866180575,-9.40485160805026,-3.39007516805849,-2.30764138821457,-1.92452309273017,-13.5582211903369,0.637401885084117,1.07863634630644,0.952184239647035,1.99449370309626,2.37761199858066,0.231993916844717
-2.95645943194451,1.0093393482603,6.64639051484773,0.52980076464963,-0.329466755124717,-0.612135220147886,10.6028404378176,"Group1",-3.96579878020481,-9.60284994679224,-3.48626019659414,-2.62699267681979,-2.34432421179662,-13.5592998697621,0.606861766685054,0.88063800756446,0.855999211111383,1.67514241449104,1.95781087951421,0.230915237419554
-5.48652532769139,-0.46360391877441,5.68357976733868,-0.413479709464332,0.483471660375512,0.763186171210894,8.20821938349683,"Group1",-5.02292140891698,-11.1701050950301,-5.07304561822706,-5.9699969880669,-6.24971149890229,-13.6947447111882,-0.450260862027116,-0.686617140673377,-0.730786210521538,-1.66786189675607,-1.94757640759146,0.0954703959934147
-5.48497618728507,-0.486305016981385,5.73334127689774,-0.420103469681687,0.483471660375512,0.67152602856885,8.20821938349683,"Group1",-4.99867117030368,-11.2183174641828,-5.06487271760338,-5.96844784766058,-6.15650221585392,-13.6931955707819,-0.426010623413818,-0.734829509826117,-0.722613309897859,-1.66631275634975,-1.85436712454309,0.0970195363997366
-3.4779748707577,0.568811514098377,6.18826412308259,0.152923084037663,-0.312076734550278,-0.420807883328762,10.0917911810076,"Group1",-4.04678638485608,-9.66623899384029,-3.63089795479536,-3.16589813620742,-3.05716698742893,-13.5697660517653,0.52587416203379,0.817248960516411,0.711361452910161,1.13623695510341,1.24496810388189,0.220449055416312
-2.84545229081839,1.1331898398745,6.56244409369372,0.603171807859915,-0.295107291746892,-0.621561729593931,10.7128610020642,"Group1",-3.97864213069289,-9.4078963845121,-3.4486240986783,-2.55034499907149,-2.22389056122446,-13.5583132928826,0.594018416196975,1.07559156984459,0.89363530902722,1.75179009223933,2.07824453008637,0.231901814299048
-5.41996035716707,-0.475933623864684,5.73009978297357,-0.413782773165756,0.432526064884223,0.6040652392554,8.26590733415575,"Group1",-4.94402673330239,-11.1500601401406,-5.00617758400132,-5.8524864220513,-6.02402559642247,-13.6858676913228,-0.371366186412526,-0.666572185783952,-0.663918176295797,-1.55035133074047,-1.72189050511165,0.104347415858818
-5.82436082693922,-0.578049615500466,5.80513496891649,-0.434185359899607,0.729286971391498,1.03492585355786,7.92371033396924,"Group1",-5.24631121143876,-11.6294957958557,-5.39017546703962,-6.55364779833072,-6.85928668049709,-13.7480711609085,-0.673650664548892,-1.14600784149901,-1.04791605933409,-2.25151270701989,-2.55715158918626,0.0421439462731801
-5.42122152473658,-0.450604904016197,5.69035945432406,-0.410524431189672,0.432526064884223,0.603918476702561,8.26590733415575,"Group1",-4.97061662072039,-11.1115809790606,-5.01069709354691,-5.85374758962081,-6.02514000143914,-13.6871288588923,-0.397956073830522,-0.628093024703947,-0.668437685841391,-1.55161249830998,-1.72300491012832,0.103086248289308
-2.9723902441054,1.01771753774719,6.63856778916652,0.517895260808958,-0.313785784821873,-0.591364805067812,10.5869631133993,"Group1",-3.99010778185259,-9.61095803327192,-3.49028550491436,-2.65860445928353,-2.38102543903759,-13.5593533575047,0.582552765037273,0.872529921084773,0.85197390279116,1.6435306320273,1.92110965227324,0.230861749676896
-5.42181369840947,-0.452566118727219,5.69035945432406,-0.410576997181328,0.432526064884223,0.585274320068612,8.26590733415575,"Group1",-4.96924757968225,-11.1121731527335,-5.01123670122814,-5.85433976329369,-6.00708801847808,-13.6877210325652,-0.396587032792381,-0.628685198376829,-0.668977293522617,-1.55220467198286,-1.70495292716725,0.102494074616427
-2.02706703461762,1.8939159686112,7.30720231476474,1.22307667789702,-0.410652395747162,-0.834429392403552,11.5277056972068,"Group1",-3.92098300322882,-9.33426934938236,-3.25014371251463,-1.61641463887046,-1.19263764221407,-13.5547727318244,0.651677543661044,1.14921860497434,1.09211569519089,2.68572045244037,3.10949744909676,0.235442375357207
-3.44432999707425,0.616318869827263,6.13988455222626,0.13722105455741,-0.226475978738102,-0.414287195221391,10.1246291011797,"Group1",-4.06064886690151,-9.58421454930051,-3.58155105163166,-3.21785401833615,-3.03004280185286,-13.5689590982539,0.51201167998835,0.89927340505619,0.760708356073859,1.08428107297468,1.27209228945797,0.221256008927723
