"ACTUAL","ANCOM.BC","CSS","MED","UQ","TMM","TSS","group","D.ANCOM.BC","D.CSS","D.MED","D.UQ","D.TMM","D.TSS","CD.ANCOM.BC","CD.CSS","CD.MED","CD.UQ","CD.TMM","CD.TSS"
-3.02816057434408,0.848135986361014,6.4281052726846,0.47987320782719,-0.513099039304013,-0.823857013169444,10.0562944727799,"Group1",-3.87629656070509,-9.45626584702867,-3.50803378217127,-2.51506153504006,-2.20430356117463,-13.084455047124,0.745724540296725,1.22610001693362,1.1211732695748,2.05462707193534,2.34060117568165,0.223497147286549
-2.59498815449305,1.18938553565333,6.63068338564237,0.786987314333353,-0.595059590282913,-1.02504944810008,10.4820372431968,"Group1",-3.78437369014638,-9.22567154013542,-3.3819754688264,-1.99992856421014,-1.56993870639297,-13.0770253976899,0.837647410855436,1.45669432382688,1.24723158291966,2.56976004276527,2.97496603046331,0.230926796720611
-5.6255962126552,-0.512005020767958,5.88887795833288,-0.3026045797363,0.459445994120015,0.624511957401271,7.69621263934641,"Group1",-5.11359119188725,-11.5144741709881,-5.3229916329189,-6.08504220677522,-6.25010817005647,-13.3218088520016,-0.491570090885429,-0.832108307025784,-0.693784581172834,-1.51535359979982,-1.70520343320019,-0.0138566575910968
-3.28555203794331,0.620621662798644,6.19847871649231,0.357451221314798,-0.490548121647735,-0.81319414981004,9.80460600297601,"Group1",-3.90617370074195,-9.48403075443561,-3.6430032592581,-2.79500391629557,-2.47235788813327,-13.0901580409193,0.715847400259867,1.19833510952669,0.986203792487965,1.77468469067983,2.07254684872301,0.217794153491196
-3.89432513928036,0.202296930529041,5.97126183979046,0.0641439268676279,-0.397519271669325,-0.581326969591673,9.220488703028,"Group1",-4.0966220698094,-9.86558697907082,-3.95846906614798,-3.49680586761103,-3.31299816968868,-13.1148138423084,0.525399031192419,0.81677888489148,0.670737985598084,1.07288273936437,1.2319065671676,0.193138352102158
-3.46248281915313,0.526047849922829,6.2841341610708,0.246381003585741,-0.457479456912231,-0.723769183838058,9.63299030483845,"Group1",-3.98853066907596,-9.74661698022393,-3.70886382273887,-3.0050033622409,-2.73871363531507,-13.0954731239916,0.633490431925856,0.935748883738366,0.920343229007196,1.5646852447345,1.80619110154121,0.212479070418935
-5.49771622288553,-0.479947947844877,5.87773578177964,-0.300177947305037,0.378036699284702,0.545224897399831,7.79523492900217,"Group1",-5.01776827504065,-11.3754520046652,-5.19753827558049,-5.87575292217023,-6.04294112028536,-13.2929511518877,-0.395747174038837,-0.693086140702871,-0.568331223834425,-1.30606431519483,-1.49803638342908,0.01500104252281
-3.67848871494917,0.384187604034865,5.91620206260743,0.137657999294728,-0.412621905205785,-0.550282864450443,9.426741242423,"Group1",-4.06267631898404,-9.59469077755661,-3.8161467142439,-3.26586680974339,-3.12820585049873,-13.1052299573722,0.559344782017778,1.08767508640569,0.813060337502167,1.30382179723201,1.41669888635755,0.202722237038339
-3.71937359051677,0.319466729632964,5.91889385427315,0.113525430374062,-0.373704645541296,-0.582173642385528,9.38622458680613,"Group1",-4.03884032014973,-9.63826744478991,-3.83289902089083,-3.34566894497547,-3.13719994813124,-13.1055981773229,0.583180780852085,1.04409841917239,0.796308030855239,1.22401966199993,1.40770478872504,0.202354017087613
-5.88155419514616,-0.5328343850505,5.8805329864007,-0.3026045797363,0.613288079592102,0.779524901797529,7.50384074669895,"Group1",-5.34871981009566,-11.7620871815469,-5.57894961540986,-6.49484227473826,-6.66107909694369,-13.3853949418451,-0.726698709093839,-1.07972131758456,-0.949742563663787,-1.92515366776285,-2.11617436008741,-0.0774427474345938
