Sample.ID	age	sex	country
348	15	male	US
349	49	male	US
350	49	female	US
351	15	female	US
352	15	female	US
353	10	male	US
354	44	male	US
355	42	female	US
356	15	female	US
357	15	female	US
358	46	male	US
359	45	female	US
360	14	male	US
361	14	male	US
362	45	male	US
363	48	female	US
364	14	female	US
365	14	female	US
366	7	male	US
367	44	male	US
368	42	female	US
369	15	male	US
370	15	male	US
371	52	male	US
372	53	female	US
373	16	male	US
374	16	male	US
375	57	male	US
376	50	female	US
377	16	female	US
378	16	male	US
379	53	male	US
380	48	female	US
381	15	female	US
382	15	female	US
383	41	male	US
384	41	female	US
385	16	male	US
386	16	male	US
387	9	male	US
388	44	male	US
389	44	female	US
390	14	female	US
391	14	female	US
392	45	male	US
393	41	female	US
394	16	male	US
395	16	male	US
396	54	male	US
397	50	female	US
398	16	female	US
399	16	female	US
400	57	male	US
401	55	female	US
402	16	female	US
403	16	male	US
404	47	male	US
405	43	female	US
406	16	female	US
407	16	female	US
408	48	male	US
409	47	female	US
410	15	female	US
411	15	female	US
412	2	female	US
413	46	male	US
414	49	female	US
415	15	female	US
416	15	female	US
417	10	female	US
418	44	female	US
419	15	male	US
420	47	female	US
421	13	male	US
422	13	male	US
423	37	male	US
424	35	female	US
425	15	male	US
426	15	male	US
427	10	male	US
428	46	male	US
429	46	female	US
430	16	female	US
431	16	male	US
